14/10/13,AP OIL INTERNATIONAL LIMITED  ,        ,SGD ,0.187,0.187,0.187,0,20000,0.187,0.195,SGX MAINBOARD,0.187,3740,5AU 
14/10/13,ARA ASSET MANAGEMENT LIMITED  ,        ,SGD ,1.735,1.7,1.72,-0.015,349000,1.71,1.73,SGX MAINBOARD,1.735,599885,D1R 
14/10/13,ARMARDA GROUP LIMITED         ,        ,SGD ,0.014,0.014,0.014,0,11755000,0.014,0.015,CATALIST     ,0.014,164570,5EK 
14/10/13,ARMSTRONG INDUSTRIAL CORP LTD ,        ,SGD ,0.395,0.395,0.395,0,160000,0.395,0.4,SGX MAINBOARD,0.395,63200,A14 
14/10/13,ARTIVISION TECHNOLOGIES LTD.  ,        ,SGD ,0.13,0.122,0.123,0.001,795000,0.123,0.127,CATALIST     ,0.127,101660,5NK 
14/10/13,ASCENDAS HOSPITALITY TRUST    ,        ,SGD ,0.77,0.765,0.765,0.005,69000,0.76,0.765,SGX MAINBOARD,0.765,52790,Q1P 
14/10/13,ASCENDAS INDIA TRUST          ,        ,SGD ,0.625,0.62,0.62,-0.005,330000,0.62,0.625,SGX MAINBOARD,0.62,205920,CY6U
14/10/13,ASCENDAS REAL ESTATE INV TRUST,        ,SGD ,2.31,2.28,2.29,-0.01,2025000,2.29,2.3,SGX MAINBOARD,2.29,4653454,A17U
14/10/13,ASCENDAS REIT MB ECW140303    ,        ,SGD ,0,0,0.029,0,0,0,0,SGX MAINBOARD,0,0,SH7W
14/10/13,ASCENDAS REIT MB ECW140401    ,        ,SGD ,0,0,0,0,0,0,0,SGX MAINBOARD,0,0,T1HW
14/10/13,ASCENDAS REIT MB EPW131202    ,        ,SGD ,0,0,0,0,0,0,0,SGX MAINBOARD,0,0,S5YW
14/10/13,ASCENDAS REIT MB EPW140401    ,        ,SGD ,0,0,0,0,0,0,0,SGX MAINBOARD,0,0,T1IW
14/10/13,ASCENDAS REIT MB EPW140602    ,        ,SGD ,0,0,0,0,0,0,0,SGX MAINBOARD,0,0,T5RW
14/10/13,ASCENDAS REIT.ES.1310         ,        ,SGD ,0,0,0,0,0,0,0,SGX MAINBOARD,0,0,T2I 
14/10/13,ASCOTT RESIDENCE TRUST        ,        ,SGD ,1.29,1.265,1.29,0.01,458000,1.28,1.29,SGX MAINBOARD,1.28,584505,A68U
14/10/13,ASIA ENTERPRISES HOLDING LTD  ,        ,SGD ,0,0,0.215,0,0,0.215,0.225,SGX MAINBOARD,0,0,A55 
14/10/13,ASIA FASHION HOLDINGS LIMITED ,        ,SGD ,0.042,0.041,0.041,-0.001,580000,0.04,0.041,SGX MAINBOARD,0.041,24080,GH3 
14/10/13,ASIA POWER CORP LTD           ,        ,SGD ,0.073,0.073,0.073,-0.015,8000,0.077,0.088,SGX MAINBOARD,0.073,584,A03 
14/10/13,ASIA-PACIFIC STRATEGIC INV LTD,        ,SGD ,0.3,0.25,0.285,0.01,6798000,0.275,0.285,CATALIST     ,0.27,1932035,5RA 
14/10/13,ASIA-PACIFIC STRATEGIC W140516,        ,SGD ,0,0,0.004,0,0,0.002,0.02,CATALIST     ,0,0,5RBW
14/10/13,ASIA-PACIFIC STRATEGIC W180716,        ,SGD ,0.25,0.225,0.25,0.03,135000,0.22,0.255,CATALIST     ,0.245,35750,5VZW
14/10/13,ASIAMEDIC LIMITED             ,        ,SGD ,0.119,0.118,0.118,-0.001,100000,0.118,0.119,CATALIST     ,0.119,11855,505
14/10/13,ASIAN MICRO HOLDINGS LTD      ,        ,SGD ,0.036,0.036,0.036,-0.001,195000,0.036,0.037,CATALIST     ,0.036,7020,585
14/10/13,ASIAN PAY TELEVISION TRUST    ,        ,SGD ,0.82,0.81,0.815,0,1327000,0.81,0.815,SGX MAINBOARD,0.82,1080080,S7OU
14/10/13,ASIAPHOS LIMITED              ,        ,SGD ,0.305,0.285,0.285,-0.01,22154000,0.28,0.285,CATALIST     ,0.29,6475995,5WV 
14/10/13,ASIASONS CAPITAL LIMITED      ,        ,SGD ,0.15,0.135,0.139,-0.007,14982000,0.138,0.139,SGX MAINBOARD,0.142,2092664,5ET 
14/10/13,ASIATIC GROUP (HOLDINGS) LTD  ,        ,SGD ,0.043,0.041,0.043,-0.001,2182000,0.042,0.043,CATALIST     ,0.043,91620,5CR 
14/10/13,ASIATIC GRP(HLDGS) LTD W150925,        ,SGD ,0.025,0.024,0.024,-0.001,660000,0.024,0.025,CATALIST     ,0.025,16460,5WSW
14/10/13,ASIATRAVEL.COM HOLDINGS LTD   ,        ,SGD ,0.19,0.185,0.185,-0.007,171000,0.185,0.193,CATALIST     ,0.189,32385,5AM 
